date,company,category,various_applications,aircraft,location
4/8/15,"Habana Avenue, LLC dba Fly Habana",Photo/Film,False,"Cinestar 8 HL, DJI S1000, DJI S900, DJI Inspire, DJI Phantom I, DJI Phantom 2, DJI Phantom 3, XX8LI Zenmuse, and X8 Zenmuse",FL
4/8/15,"Draganfly Innovations, Inc.",Manufacturer,False,"Draganflyer X4P, Draganflyer X4ES, Draganflyer X6, Draganflyer Guardian",Canada
4/9/15,Micro Drone Vision,"Photo/Film, Education, Agriculture, Real Estate",True,"DJI Phantom 1, DJI Phantom 2, 550S Flame Wheels, Inspire 1, S1000, 3D Robotics Iris+, Apprentice, Penguin B, DJI Phantom 3, Yuneec Typhoon Q500, Yuneec Typhoon Q500 +, Yuneec Typhoon Q500 + Pro",FL
4/9/15,Altavian Inc.,Manufacturer,False,Altavian Nova F6500,FL
4/9/15,Precision Drone LLC,"Agriculture, Manufacturer",False,Precision Drone Pacesetter,IN
4/9/15,Climate Corp Precision Planting LLC,Agriculture,False,DJI Phantom 2,IL
4/9/15,Ryan K Koffman,"Photo/Film, Education",False,"DJI Inspire, DJI S900, Blade 350QX",CA
4/9/15,DeGrazia Music LLC,Photo/Film,False,"DJI Phantom 2 Vision+, DJI Inspire",AZ
4/9/15,SouthGate Films Inc.,Photo/Film,False,"DJI F550, Tarot T-15, Tarot T-18",NY
4/9/15,Next Generation Aviation Services LLC,"Real Estate, Construction, Education, Emergency Services",True,"DJI S1000+, DJI Inspire 1 T600",NJ
4/9/15,Colin Hinkle,Photo/Film,False," DJI Inspire 1, DJI Phantom 2 Vision, DJI Phantom 3",IL
4/16/15,Hovershotsapv LLC,Photo/Film,False,Steadydrone QU4D,FL
4/16/15,M-Kopter Aerials,"Real Estate, Photo/Film",False,DJI Inspire 1,SD
4/16/15,Cambervision Inc.,Education,False,DJI Phantom 2,MA
4/16/15,"Unmanned Aerial Assessment & Video, LLC",Emergency Services,False,"DJI Inspire, DJI Phantom 2, DJI Phantom 2 Vision",CO
4/16/15,SkyWords Advertising,"Real Estate, Photo/Film",False,"DJI Phantom 2 Vision+, Harris I8 HL",FL
4/16/15,Jackson Family Wines,Other-Security,False,AirCover QR-425,CA
4/16/15,"Sokoler, Bob",Real Estate,False,DJI Phantom 2 Vision+,KY
4/16/15,"Geosky3, LLC","Real Estate, Photo/Film, Other-Security",False,DJI Inspire 1 Model T600,FL
4/16/15,"Woolpert, Inc.","Government Contracting, Agriculture, Scientific Studies, Conservation, Utilities/Energy/Infrastructure",True,Skycatch,OH
4/16/15,"PrecisionHawk, Inc.","Manufacturer, Agriculture",False,Hawkeye Mk-III,IN
4/16/15,"Birdseye Video, LLC dba BirdsiVideo",Real Estate,False,DJI Phantom 2,IN
4/16/15,Nick Patillo,Real Estate,False,DJI Phantom,TX
4/16/15,"Empire Unmanned, LLC",Agriculture,False,SenseFlyeBee Ag,ID
4/16/15,RW Zollinger Consulting Engineers,Construction,False,DJI Phantom 2,PA
4/16/15,PPL Electric Utilities Corporation,Utilities/Energy/Infrastructure,False,DJI S900,PA
4/16/15,Falkirk Mining Company,Utilities/Energy/Infrastructure,False,"SenseFly eBee, Trimble UX5",ND
4/16/15,"Blackwell Group, LLC",Utilities/Energy/Infrastructure,False,SenseFly eBee,VA
4/16/15,"Pacific Aviation, LLC",Other-Security,False,frese,OR
4/16/15,"RKGmedia, LLC",Photo/Film,False,Seahawk 1.2,WA
4/16/15,MSPhotography dba MSAerial,Photo/Film,False,DJI S1000,MA
4/16/15,"Voler, Inc.",Construction,False,"3D Robotics X8, 3D Robotics Solo, DJI Phantom 3, DJI Phantom 2",FL
4/16/15,RED Consultants LLC,Emergency Services,False,Aeryon SkyRanger,MD
4/17/15,Jeffrey Galindo,"Education, Photo/Film",False,DJI PHANTOM 2 Vision+,NV
4/17/15,Gregory Zonsius,Photo/Film,False,DJI Phantom 2 Vision+,IL
4/17/15,Bruce Pogosaew,"Education, Photo/Film",False,"3DR Plane, Bumblebee-S",AZ
4/17/15,SkyPan International,Construction,False,Align T Rex 700E F3C,IL
4/17/15,"Remote Pilot Systems, LLC",Utilities/Energy/Infrastructure,False,Aibotix X-6,PA
4/17/15,"Natalie Contracting, LLC","Photo/Film, Infrastructure",False,DJI Phantom 2,IL
4/17/15,"New Heights Aerial Media, LLC","Photo/Film, Construction",False,"Blade 350QX, 3D Robotics Iris + (Amended 9/11/15)",OH
4/17/15,Union Pacific Railroad,Utilities/Energy/Infrastructure,False,AirCover QR-425s,NE
4/17/15,bizUAS Corp,"Photo/Film, Utilities/Energy/Infrastructure",False,"G4 Eagle, DJI Phantom 2, Altavian Nova F6500, DJI Phantom 3, service-drone Recon One, service-drone Blackbird",CO
4/17/15,Stark Aerospace Inc.,"Manufacturer, Agriculture, Utilities/Energy/Infrastructure",True,Stark Aerospace ArrowLite,MS
4/17/15,"Celestial Imaging, LLC",Photo/Film,False,DJI Inspire 1,ID
4/17/15,"The Barefoot Group, Inc.",Photo/Film,False,DJI Phantom 2 Vision+,FL
4/17/15,"Sydor Aerial Photography, LLC",Construction,False,DJI Phantom 2 Vision+,IN
4/17/15,"ADM Crop Risk Services, Inc.",Agriculture,False,"DJI Phantom 2 Vision+, Precision Hawk Lancaster Hawkeye Mk-III",IL
4/17/15,"Topcon Positioning Systems, Inc.",Manufacturer,False,"Sirius Basic, Sirius Pro",CA
4/17/15,"Florida Aerials, LLC",Real Estate,False,"DJI Phantom 2, DJI Phantom 2 Vision+",FL
4/17/15,Unmanned Sensing Systems LLC,Agriculture,False,US2 GreenHawk,NJ
4/17/15,"Building 10, LLC",Photo/Film,False,DJI S1000,TN
4/17/15,David Ho,Real Estate,False,"DJI Phantom 2 Vision+, DJI Inspire I",IL
4/17/15,Photo-Flight Aerial Media,"Photo/Film, Real Estate",False,DJI Phantom 2 Vision+,CT
4/17/15,"AeroLogix Consulting, Inc.",Manufacturer,False,AeroLogix GeoStar,MN
4/17/15,The Aerial Filming Company,Photo/Film,False,DJI S-1000,NJ
4/17/15,The Dobbins Company,Real Estate,False,"DJI Phantom 2, DJI Phantom 2 Vision",GA
4/17/15,"Bowman Consulting Group, LTD","Utilities/Energy/Infrastructure, Construction",False,SenseFly eBee,VA
4/17/15,"Unmanned Experts, Inc.",Photo/Film,False,Aeryon SkyRanger,CO
4/17/15,Texas UAV Professionals,"Utilities/Energy/Infrastructure, Construction",False,TUP X8-800,TX
4/17/15,Quad Productions of Chicago,"Photo/Film, Real Estate",False,"DJI Phantom 2, DJI Inspire 1, DJI Phantom S1000+",IL
4/17/15,Shanon Kern,Photo/Film,False,"DJI Phantom, DJI F550",CA
4/17/15,"Vine Rangers, Inc.",Agriculture,False,"3D Robotics RTF X8, 3D Robotics Aero-M",CA
4/17/15,Mark Sobczyk,Real Estate,False,DJI Phantom 2,CA
4/21/15,"Straw Investment Group, LLC",Photo/Film,False,DJI Phantom 2,TX
4/21/15,"GPS Development, LLC dba SkyViewHD",Real Estate,False,"DJI Phantom 2, DJI Phantom 2 Vision+, DJI Phantom 3, DJI S1000, BirdsEyeView Firefly 6",FL
4/21/15,"Ventus Wind, LLC",Utilities/Energy/Infrastructure,False,"DJI Phantom 2, DJI Phantom 2 Vision+, DJI Inspire 1, DJI Spreading Wings S-1000",TX
4/21/15,Cirrus Exploration Company,"Education, Utilities/Energy/Infrastructure",False,"DJI Phantom 2 Vision+, DJI Inspire 1",TX
4/21/15,"Owlcam, LLC",Photo/Film,False,DJI Phantom 2,HI
4/21/15,"Colorado Cartographics, LLC",Utilities/Energy/Infrastructure,False,"DJI F550 Flamewheel, Tarot T810",CO
4/21/15,Thomas Ryan Drake,"Photo/Film, Real Estate",False,DJI Phantom 2 Vision+,CA
4/21/15,"Xcam Aerials, Inc.",Photo/Film,False,"ACS XX8L, Ronin Octo - MaryKate, Ronin Octo - Ashley, X8, DJI Spreading Wings S800, DJI Inspire 1, DJI Phantom 2, DJI S-1000",FL
4/21/15,Contend Corporation,Photo/Film,False,DJI Spreading Wings S900,
4/21/15,"Droneview, LLC","Photo/Film, Real Estate",False,"DJI Phantom 2 Vision+, DJI Phantom 3 Professional",TX
4/21/15,"JB Aerial, LLC",Utilities/Energy/Infrastructure,False,"DJI Phantom 2, DJI S-900",FL
4/21/15,AirCam Photography,"Photo/Film, Real Estate",False,"DJI Phantom 2, DJI S900, DJI Inspire 1",CA
4/21/15,HeliTek NW,"Photo/Film, Real Estate",False,DJI Inspire 1,OR
4/21/15,"Aerial Video and Imagery, LLC","Photo/Film, Real Estate, Agriculture",False,"DJI Phantom 2 Vision+, DJI Phantom 2, DJI S-900",VA
4/21/15,Consumers Energy Company,Utilities/Energy/Infrastructure,False,DJI S-1000,MI
4/21/15,Craig Byrom,"Photo/Film, Emergency Services",False,DJI S-1000,TX
4/21/15,"Aerial Intelligence HD, LLC","Agriculture, Utilities/Energy/Infrastructure",False,Turbo Ace Cinewing 6HL,IA
4/21/15,"Surveying and Mapping, LLC",Utilities/Energy/Infrastructure,False,"Allied Drones HornetCam, 3DRobotics Aero-M, 3D Robotics Iris+, Trimble UX5",TX
4/22/15,"Dave Marshall â€“ Elk Ridge Ranch, LLC",Photo/Film,False,Phantom 2 Vision+,IN
4/22/15,"Launchit Technologies, LLC",Utilities/Energy/Infrastructure,False,Air Rover AR-300,NJ
4/22/15,"ArrowData, LLC",Photo/Film,False,CineStar 8 Okto XL,NV
4/22/15,UAV-IQ LLC,Agriculture,False,SenseFly eBee,CA
4/22/15,Stringer News Service,Photo/Film,False,DJI Phantom 2 Vision+,NY
4/22/15,Bryan Cherry,"Photo/Film, Agriculture",False,DJI Phantom 2 Vision+,KY
4/22/15,Just 1 UAV,Education,False,DJI Phantom 2 Vision+,AZ
4/23/15,"Strawberry Productions, LLC dba Flying Berry Productions",Photo/Film,False,DJI Phantom 2,FL
4/23/15,Wade Bell,"Photo/Film, Agriculture",False,DJI Phantom 2 Vision+,FL
4/23/15,Ralph J. Apel,Photo/Film,False,DJI Phantom 2 Vision+,KS
4/23/15,"Earth Forensics, Inc","Photo/Film, Utilities/Energy/Infrastructure",False,DJI Phantom 2 Vision+,CA
4/23/15,"DRONESTHATWORK, LLC",Utilities/Energy/Infrastructure,False,LB700,OH
4/23/15,"Unmanned Experts, Inc.","Education, Photo/Film",False,Altavian Nova F6500,CO
4/23/15,"Aerial Pros, LLC",Utilities/Energy/Infrastructure,False,"TBS Discovery Pro, DJI Inspire, DJI S1000",NJ
4/23/15,Aerial Imaging Systems,"Photo/Film, Utilities/Energy/Infrastructure, Real Estate",True,DJI Phantom 2 Vision+,SC
4/23/15,Bryan W. Swann,"Photo/Film, Real Estate",False,DJI Inspire 1,MD
4/23/15,Douglas R. Dorrer,"Education, Emergency Services",False,3DRobotics IRIS+,WV
4/24/15,"Cape Productions, Inc.",Photo/Film,False,3DRobotics X8+,CA
4/24/15,"Soar Environmental Consulting, Inc.",Utilities/Energy/Infrastructure,False,Rotomotion SR-15,CA
4/24/15,Stunning Heights LLP,Photo/Film,False,"DJI T600, SH900, DJI Inspire 1, DJI Spreading Wings S900",UT
4/24/15,"AgScan, Inc","Agriculture, Construction",False,Draganflyer X4- ES,PA
4/24/15,Elevated Images,Photo/Film,False,DJI Phantom 2 Vision+,PA
4/24/15,"Alaska Aerial Media, LLC","Photo/Film, Government Contracting, Education",False,"DJI Inspire 1, DJI S800, DJI S1000, Sensefly eBee RTK",AK 
4/24/15,Eric Silberg Photography,Photo/Film,False,DJI Inspire 1,MD
4/24/15,goFarm LLC,"Agriculture, Utilities/Energy/Infrastructure",False,GF-1,MD
4/24/15,Aerial Optics,"Photo/Film, Construction, Real Estate",False,"DJI F550, a custom built 450mm waterproof quad copter",MA
4/24/15,Jeffrey Hug dba jeffhug360,Photo/Film,False,Phantom 2 Vision+,NE
4/24/15,"CompassData, Inc",Utilities/Energy/Infrastructure,False,"Trimble UX5, Swift Radioplane Lynx M, DJI Phantom 2 Vision+, DJI Phantom 3, DJI Inspire 1, DJI S1000 (Amended 8/18/2015)",CO
4/27/15,Daniel W. Achatz,Photo/Film,False,DJI Phantom 2,WA
4/27/15,"AeroVironment, Inc.","Manufacturer, Utilities/Energy/Infrastructure",False,AeroVironment Shrike,CA
4/27/15,"Unmanned Experts, Inc.","Education, Photo/Film",False,Aeryon Scout,CO
4/27/15,Marcus D. Melhus,Photo/Film,False,DJI Phantom 2 Vision+,IL
4/27/15,Aerial Industrial LLC,Utilities/Energy/Infrastructure,False,DJI Spreading Wings S-1000,TX
4/27/15,"Wild Rabbit Productions, LLC",Photo/Film,False,"Allied Drones Chaos X-8, DJI S1000+, DJI S1000 Premium",CA
4/27/15,"Eagle UAV Services, LLC",Agriculture,False,SenseFly eBee,MI
