Date ,Company,Category,Aircraft,Location,Description,
4/8/15,Extreme Media Productions,"Utilities/Energy/Infrastructure, Real Estate, Photo/Film",DJI Phantom 2 Vision+,SC,"Real estate, marketing, surveying, industrial and special event operations.",
4/8/15,Sevee Maher Engineers Inc.,Construction,Atlantic RC Aircraft LC 047,ME,"Topographic surveys for civil, environmental, geotechnical, water, and compliance.",
4/8/15,Charles J Lesowske,Real Estate,DJI Phantom FC40,OR,Aerial real estate photography.,
4/8/15,Idaho Forest Group,Other-Logging,Skycatch,ID,Aerial imaging in mill operations. Aerial imaging for safety and monitoring of secured and controlled environment mill sites.,
4/8/15,Erie Insurance Group,Insurance,"DJI Phantom 2, DJI Phantom 3 Professional, DJI Phantom 3 Advanced",PA,"Research and development; surveys and inspections; risk assessment, risk management, loss prevention and underwriting. (Amended 7/10/2015)",
4/8/15,Cherokee UAS LLC,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation, Emergency Services",Altavian Nova F6500 Block III,NM,"Aerial surveys and inspections for public agencies, such as Federal (BLM and USDA/UPHIS) and State agencies, requesting compliance inspection services, wildlife management support, wildfire fighting support, SAR and specific and occasional law enforcement support services. Private pipeline and power transmission companies and petroleum/gas producers are asking for data in order to improve their maintenance programs, environmental compliance, and installation security.",
4/8/15,"Altavian, Inc.",Manufacturer,Altavian Nova F6500,FL,"Data collection for natural resources and conservation, construction and infrastructure, precision agriculture, and inspection and monitoring.",
4/8/15,Bird's Eye Solutions LLC,Photo/Film,DJI Phantom 2,WI,"Aerial photography, closed-set filming of motion pictures, and scientific data collection.",
4/8/15,"Toledo Aerial Media, LLLC","Photo/Film, Agriculture, Real Estate, Construction, Conservation","DJI Phantom 2 Vision+, DJI Inspire 1",OH,"Aerial surveying, remote sensing, photography, agricultural, construction, and wildlife monitoring.",
4/8/15,Unmanned Systems Inc.,Photo/Film,"Multirotor G4 7.8 Skycrane, modified Flame Wheel F‰ÛÒ450 quadcopter, Tarrot 900 hexacopter",NV,Motion picture and television operations.,
4/8/15,Balfour Beatty Construction Services,Construction,Skycatch,CA,"Aerial imaging at construction sites. Inspect, photograph, and collect data on hard to get to areas that otherwise would require worker inspection. ",
4/8/15,"Chustz Surveying, Inc.","Utilities/Energy/Infrastructure, Agriculture",SenseFly eBee,LA,Aerial mapping and surveying applications.,
4/8/15,Amazon.com,"Manufacturer, Scientific Studies",Amazon manufactured multi-rotor small UAS,WA,Outdoor testing research and development for Prime Air.,
4/8/15,Aerial Media Systems,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900,d RF‰ÛÒ70",NJ,"Video, images, and surveying of persons and property for commercial broadcast.",
4/8/15,"Sydor Aerial Photography, LLC",Photo/Film,DJI Phantom 2 Vision,IN,"Aerial photography for for the purpose of providing the Municipal Solid Waste Landfill operators with orthomosaics (image maps). The image maps can in turn be used to compute volume, create 3D models, profile and contour lines, and 3D visualizations of landfills.",
