parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
"Men, 16 and over",men-16-and-over,Men's uniforms,men's-uniforms,child,0.53,1.8,0.18,2.79,1.25,3.72,1.71,1.69,4.23
"Men, 16 and over",men-16-and-over,Men's costumes,men's-costumes,child,b/,0.4,0.62,0.78,0.19,0.6,0.34,1.47,1.25
,,,,,,,,,,,,,
Men and boys,men-and-boys,"Boys, 2 to 15",boys-2-to-15,,53.34,26.71,41.48,46.73,63.67,84.5,93.98,78.51,172.63
,,,,,,,,,,,,,
"Boys, 2 to 15",boys-2-to-15,Boys' coats and jackets,boys'-coats-and-jackets,child,3.48,3.01,1.46,2.45,3.66,2.98,4.7,5.79,8.11
"Boys, 2 to 15",boys-2-to-15,Boy's shirts and sweaters*,boy's-shirts-and-sweaters,child,12.56,0.58,4.27,11.63,13.72,28.55,30.85,20.09,30.58
"Boys, 2 to 15",boys-2-to-15,Boys' underwear*,boys'-underwear,child,14,5.57,7.96,0.95,5.82,12.79,12.29,7.68,17.88
"Boys, 2 to 15",boys-2-to-15,Boys' nightwear,boys'-nightwear,child,0.07,0.01,0.62,1.4,0.86,0.58,0.42,0.93,2.59
"Boys, 2 to 15",boys-2-to-15,Boys' hosiery*,boys'-hosiery,child,11.46,0.4,1.15,1.77,2.89,9.58,6.68,4.63,15.45
"Boys, 2 to 15",boys-2-to-15,Boys' accessories*,boys'-accessories,child,1.98,b/,3.24,2.62,1.39,7.17,5,2.88,7.54
"Boys, 2 to 15",boys-2-to-15,"Boys' suits, sportcoats, vests",boys'-suits-sportcoats-vests,child,0.32,0.45,0.46,0.45,0.38,1.21,1.18,0.97,2.29
"Boys, 2 to 15",boys-2-to-15,Boys' pants and shorts,boys'-pants-and-shorts,child,9.1,14.8,13.38,15.61,18.28,16.83,18.81,24.5,35.3
"Boys, 2 to 15",boys-2-to-15,Boys' uniforms and active sportswear*,boys'-uniforms-and-active-sportswear,child,b/,1.64,8.74,9.58,16.46,3.78,13.48,10.41,50.9
"Boys, 2 to 15",boys-2-to-15,Boys' costumes,boys'-costumes,child,0.38,0.26,0.2,0.28,0.2,1.01,0.56,0.65,1.98
,,,,,,,,,,,,,
Apparel and services,apparel-and-services,Women and girls,women-and-girls,,320.97,217.48,288.61,277.14,412.75,506.95,571.65,622.99,"1,031.59"
,,,,,,,,,,,,,
Women and girls,women-and-girls,"Women, 16 and over",women-16-and-over,,257.87,194.65,228.58,251.35,355.97,432.92,439.56,536.46,863.8
,,,,,,,,,,,,,
"Women, 16 and over",women-16-and-over,Women's coats and jackets*,women's-coats-and-jackets,child,31.91,28.72,11.33,17.35,20.79,15.56,37.08,46.57,69.66
"Women, 16 and over",women-16-and-over,Women's dresses*,women's-dresses,child,23.16,7.83,16.87,45.69,71.4,89.98,89.56,59.4,140.93
"Women, 16 and over",women-16-and-over,"Women's sportcoats, tailored jackets",women's-sportcoats-tailored-jackets,child,1.1,b/,1.09,0.57,1.4,1.62,1.7,3.76,5.66
"Women, 16 and over",women-16-and-over,"Women's sweaters, shirts, tops, vests*",women's-sweaters-shirts-tops-vests,child,72.04,46.06,54.3,67.55,76.41,117.93,82.12,161.12,238.75
"Women, 16 and over",women-16-and-over,Women's skirts*,women's-skirts,child,5.8,0.89,3.28,5.02,5.94,8.76,6.48,8.92,19.94
"Women, 16 and over",women-16-and-over,Women's pants and shorts*,women's-pants-and-shorts,child,31.11,32.61,60.6,24.96,56.93,66.94,51.69,70.7,133.15
"Women, 16 and over",women-16-and-over,Women's active sportswear*,women's-active-sportswear,child,17.75,5.46,11.41,9.62,8.88,22.34,25.02,28.39,39.11
"Women, 16 and over",women-16-and-over,Women's sleepwear*,women's-sleepwear,child,9.82,26.6,17.68,9.43,20.42,23.49,24.38,17.36,27.63
"Women, 16 and over",women-16-and-over,Women's undergarments*,women's-undergarments,child,21.06,15.57,10.97,13.29,28.52,20.98,24.5,27.32,54.53
"Women, 16 and over",women-16-and-over,Women's hosiery*,women's-hosiery,child,7.34,11.89,12.83,11.18,10.55,20.92,15.38,20.02,24.73
"Women, 16 and over",women-16-and-over,Women's suits,women's-suits,child,5.62,0.92,1.6,2.28,1.75,0.86,2.5,3.08,12.16
"Women, 16 and over",women-16-and-over,Women's accessories*,women's-accessories,child,28.62,16.25,24.9,39.95,49.7,40.48,74.08,84.59,88.8
"Women, 16 and over",women-16-and-over,Women's uniforms,women's-uniforms,child,2.32,1.5,1.57,4.34,1.02,2.58,4.7,4.15,7.09
"Women, 16 and over",women-16-and-over,Women's costumes,women's-costumes,child,0.21,0.35,0.17,0.13,2.24,0.5,0.37,1.08,1.68
,,,,,,,,,,,,,
Women and girls,women-and-girls,"Girls, 2 to 15",girls-2-to-15,,63.1,22.84,60.03,25.79,56.78,74.03,132.09,86.53,167.78
,,,,,,,,,,,,,
"Girls, 2 to 15",girls-2-to-15,Girls' coats and jackets,girls'-coats-and-jackets,child,0.67,1.64,1.33,2.24,3.23,4.27,4.46,4.84,8.96
"Girls, 2 to 15",girls-2-to-15,Girls' dresses and suits*,girls'-dresses-and-suits,child,3.96,1.78,8.46,3.9,6.62,13.21,22.28,11.04,21.1
"Girls, 2 to 15",girls-2-to-15,"Girls' shirts, blouses, sweaters, vests*",girls'-shirts-blouses-sweaters-vests,child,16.56,6.12,19.19,4.48,14.9,14.65,30.2,22.43,47.42
"Girls, 2 to 15",girls-2-to-15,"Girls' skirts, pants, and shorts",girls'-skirts-pants-and-shorts,child,9.92,6.2,9.84,7.32,16.03,21.52,17.27,22.63,38.42
"Girls, 2 to 15",girls-2-to-15,Girls' active sportswear*,girls'-active-sportswear,child,6.87,2.44,4.69,2.36,1.9,3.16,24.33,7.17,15.99
"Girls, 2 to 15",girls-2-to-15,Girls' underwear and sleepwear*,girls'-underwear-and-sleepwear,child,14.28,b/,6.8,0.76,5.63,7.4,18.66,8.83,12.37
"Girls, 2 to 15",girls-2-to-15,Girls' hosiery*,girls'-hosiery,child,6.92,1.72,5.27,0.94,2.04,4.18,4.9,4.17,10.05
"Girls, 2 to 15",girls-2-to-15,Girls' accessories*,girls'-accessories,child,3.44,2.26,2.48,2.06,2.89,2.36,7.59,3.44,6.62
"Girls, 2 to 15",girls-2-to-15,Girls' uniforms,girls'-uniforms,child,0.22,0.62,1.67,1.6,2.9,2.07,1.23,1.48,3.83
"Girls, 2 to 15",girls-2-to-15,Girls' costumes,girls'-costumes,child,0.26,0.05,0.29,0.14,0.65,1.2,1.17,0.49,3.03
,,,,,,,,,,,,,
Apparel and services,apparel-and-services,Children under 2,children-under-2,,29.07,68.21,40.12,44.33,54.91,53.77,66.09,70.69,112.94
,,,,,,,,,,,,,
Children under 2,children-under-2,"Infant coat, jacket, snowsuit",infant-coat-jacket-snowsuit,child,1.74,0.08,0.55,0.74,0.47,0.92,0.48,0.25,1.77
Children under 2,children-under-2,"Infant dresses, outerwear*",infant-dresses-outerwear,child,6.61,6.53,5.69,4.58,9.9,11.4,12.43,12.09,33.7
Children under 2,children-under-2,Infant underwear*,infant-underwear,child,15.71,58.14,24.5,29.38,33.84,36.52,47.79,44.72,57.05
Children under 2,children-under-2,"Infant nightwear, loungewear*",infant-nightwear-loungewear,child,1.03,1.6,3.13,2.97,2.2,2.95,0.89,3.52,6.19
Children under 2,children-under-2,Infant accessories*,infant-accessories,child,3.98,1.86,6.25,6.66,8.51,1.97,4.5,10.11,14.23
,,,,,,,,,,,,,
Apparel and services,apparel-and-services,Footwear,footwear,,224.89,153.47,172.13,142.78,164.83,301.79,373.1,365.42,563.33
,,,,,,,,,,,,,
Footwear,footwear,Men's footwear*,men's-footwear,child,85.25,49.1,57.26,53.25,41.95,61.54,71.54,119.66,182.51
Footwear,footwear,Boys' footwear*,boys'-footwear,child,54.96,24.23,14.64,6.88,33.52,75.97,79.84,41.72,68.51
Footwear,footwear,Women's footwear*,women's-footwear,child,55.33,70.11,69.61,71.88,73.67,133.45,159.42,186.35,263.51
Footwear,footwear,Girls' footwear*,girls'-footwear,child,29.36,10.04,30.62,10.77,15.69,30.83,62.31,17.7,48.8
,,,,,,,,,,,,,
Apparel and services,apparel-and-services,Other apparel products and services,other-apparel-products-and-services,,92.41,92.06,88.31,135.53,104.27,145.11,185.54,171.14,491.04
,,,,,,,,,,,,,
Other apparel products and services,other-apparel-products-and-services,"Material and supplies for sewing, needlework, quilting (includes household items)*",material-and-supplies-for-sewing-needlework-quilting-(includes-household-items),child,12.94,4.58,11.49,11.75,16.58,14.81,26.72,27.12,43.48
Other apparel products and services,other-apparel-products-and-services,Watches*,watches,child,6.68,9.93,3.3,8.03,2.39,26.61,28.7,12.29,137.71
Other apparel products and services,other-apparel-products-and-services,Jewelry,jewelry,child,8.93,3.96,8.46,58.83,9.55,32.45,38.46,50.91,153.19
Other apparel products and services,other-apparel-products-and-services,Shoe repair and other shoe service,shoe-repair-and-other-shoe-service,child,2.71,0.68,0.52,0.25,0.69,1.08,0.92,1.02,2.74
Other apparel products and services,other-apparel-products-and-services,Coin-operated apparel laundry and dry cleaning,coin-operated-apparel-laundry-and-dry-cleaning,child,43.52,62.59,55.46,45.73,57.09,48.95,58.51,34.15,21.14
Other apparel products and services,other-apparel-products-and-services,"Alteration, repair and tailoring of apparel and accessories",alteration-repair-and-tailoring-of-apparel-and-accessories,child,0.8,1.52,1.28,2.58,2.32,2.13,3.58,3.86,11.99
Other apparel products and services,other-apparel-products-and-services,Clothing rental,clothing-rental,child,1.07,0.96,0.04,0.18,0.22,1.07,0.99,2.65,3.97
Other apparel products and services,other-apparel-products-and-services,Watch and jewelry repair,watch-and-jewelry-repair,child,0.43,0.47,0.36,0.8,2.54,1.59,2.8,2.26,5.62
Other apparel products and services,other-apparel-products-and-services,Apparel laundry and dry cleaning not coin-operated,apparel-laundry-and-dry-cleaning-not-coin-operated,child,15.33,6.78,7.4,7.27,12.9,14.86,24.47,34.02,108.74
Other apparel products and services,other-apparel-products-and-services,Clothing storage,clothing-storage,child,b/,0.58,b/,0.12,b/,1.55,0.4,2.86,2.44
,,,,,,,,,,,,,
Expenditures,expenditures,Transportation,transportation,,"3,276.33","3,089.80","3,537.62","4,203.43","5,749.38","6,434.78","8,289.10","9,488.40","14,578.78"
,,,,,,,,,,,,,
Transportation,transportation,Vehicle purchases (net outlay),vehicle-purchases-(net-outlay),,980.2,"1,179.25","1,252.75","1,195.13","1,905.57","1,969.90","3,150.71","3,441.73","5,582.34"
,,,,,,,,,,,,,
Vehicle purchases (net outlay),vehicle-purchases-(net-outlay),"Cars and trucks, new",cars-and-trucks-new,,423.21,280.11,510.87,399.76,523.82,763.92,"1,520.44","1,206.11","3,085.24"
,,,,,,,,,,,,,
"Cars and trucks, new",cars-and-trucks-new,New cars,new-cars,child,284.26,111.89,470.55,251.14,271.25,233.49,697.55,672.23,"1,297.95"
"Cars and trucks, new",cars-and-trucks-new,New trucks,new-trucks,child,138.95,168.22,40.32,148.62,252.57,530.44,822.89,533.88,"1,787.28"
,,,,,,,,,,,,,
Vehicle purchases (net outlay),vehicle-purchases-(net-outlay),"Cars and trucks, used",cars-and-trucks-used,,556.99,897.04,741.88,795.37,"1,341.33","1,203.20","1,593.91","2,146.91","2,408.43"
,,,,,,,,,,,,,
"Cars and trucks, used",cars-and-trucks-used,Used cars,used-cars,child,302.94,266.67,635.73,610.07,733.39,470.71,748.76,"1,195.08","1,192.80"
"Cars and trucks, used",cars-and-trucks-used,Used trucks,used-trucks,child,254.05,630.37,106.15,185.31,607.94,732.5,845.15,951.84,"1,215.63"
,,,,,,,,,,,,,
Vehicle purchases (net outlay),vehicle-purchases-(net-outlay),Other vehicles,other-vehicles,,b/,2.1,b/,b/,40.42,2.77,36.36,88.71,88.67
,,,,,,,,,,,,,
Other vehicles,other-vehicles,New motorcycles,new-motorcycles,child,b/,b/,b/,b/,34.29,b/,0.85,80.86,36.47
Other vehicles,other-vehicles,New aircraft,new-aircraft,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
Other vehicles,other-vehicles,Used motorcycles,used-motorcycles,child,b/,2.1,b/,b/,6.13,2.77,35.51,7.85,52.2
Other vehicles,other-vehicles,Used aircraft,used-aircraft,child,b/,b/,b/,b/,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Transportation,transportation,Gasoline and motor oil,gasoline-and-motor-oil,,"1,117.43","1,044.63","1,124.56","1,391.69","1,737.11","2,175.48","2,387.90","2,738.93","3,557.91"
,,,,,,,,,,,,,
Gasoline and motor oil,gasoline-and-motor-oil,Gasoline,gasoline,child,"1,061.65","1,002.78","1,047.50","1,321.05","1,645.34","2,029.48","2,248.51","2,547.35","3,243.18"
Gasoline and motor oil,gasoline-and-motor-oil,Diesel fuel,diesel-fuel,child,3.28,6.08,25.5,10.02,15.2,31.22,24.73,51.79,67.21
Gasoline and motor oil,gasoline-and-motor-oil,Gasoline on out-of-town trips,gasoline-on-out-of-town-trips,child,47.25,29.36,42.74,50.12,64.95,102.59,99.19,124.98,229.91
Gasoline and motor oil,gasoline-and-motor-oil,Motor oil,motor-oil,child,4.78,6.11,8.39,9.99,10.96,11.16,14.46,13.55,15.3
Gasoline and motor oil,gasoline-and-motor-oil,Motor oil on out-of-town trips,motor-oil-on-out-of-town-trips,child,0.48,0.3,0.43,0.51,0.66,1.04,1,1.26,2.32
,,,,,,,,,,,,,
Transportation,transportation,Other vehicle expenses,other-vehicle-expenses,,988.19,693.82,987.13,"1,349.65","1,863.14","1,969.19","2,336.20","2,828.88","4,324.68"
,,,,,,,,,,,,,
Other vehicle expenses,other-vehicle-expenses,Vehicle finance charges,vehicle-finance-charges,,37.05,52.36,46.68,63.39,99.63,164.31,181.38,237.52,357.47
,,,,,,,,,,,,,
Vehicle finance charges,vehicle-finance-charges,Automobile finance charges,automobile-finance-charges,child,16.8,29.69,28.59,36.3,51.13,80.89,88,110.08,134.45
Vehicle finance charges,vehicle-finance-charges,Truck finance charges,truck-finance-charges,child,20.1,22.62,17.84,26.09,43.9,79.35,83.7,114.9,194.56
Vehicle finance charges,vehicle-finance-charges,Motorcycle and plane finance charges,motorcycle-and-plane-finance-charges,child,0.01,0.06,0.07,1.01,0.82,1.18,2.85,6.03,9.35
Vehicle finance charges,vehicle-finance-charges,Other vehicle finance charges,other-vehicle-finance-charges,child,0.14,b/,0.18,b/,3.79,2.89,6.83,6.5,19.12
,,,,,,,,,,,,,
Other vehicle expenses,other-vehicle-expenses,Maintenance and repairs,maintenance-and-repairs,,363.97,270.39,245.39,388.99,564.25,631.15,782.4,891.8,"1,310.79"
,,,,,,,,,,,,,
Maintenance and repairs,maintenance-and-repairs,"Coolant, brake fluid, transmission fluid, and other additives",coolant-brake-fluid-transmission-fluid-and-other-additives,child,3.91,3.43,3.17,4.59,5.54,5.39,8.52,8.21,7.24
Maintenance and repairs,maintenance-and-repairs,"Tires - purchased, replaced, installed",tires---purchased-replaced-installed,child,37.52,31.43,38.03,69.37,74.11,104.76,105.4,148.13,197.04
Maintenance and repairs,maintenance-and-repairs,"Parts, equipment, and accessories",parts-equipment-and-accessories,child,22.08,11.03,20.07,29.84,59.04,40.19,83.43,63.14,62.28
Maintenance and repairs,maintenance-and-repairs,Vehicle products and cleaning services*,vehicle-products-and-cleaning-services,child,6.92,0.47,2.15,3.35,5.75,5.03,20.87,4.77,13.04
Maintenance and repairs,maintenance-and-repairs,"Misc. auto repair, servicing*",misc.-auto-repair-servicing,child,37.78,31.11,18.33,44.78,54.09,77.43,65.71,124.36,151.74
Maintenance and repairs,maintenance-and-repairs,Body work and painting,body-work-and-painting,child,32.21,8.94,0.54,14.17,7.61,24.92,32.56,24.99,50.56
Maintenance and repairs,maintenance-and-repairs,Vehicle or engine repairs,vehicle-or-engine-repairs,child,78.47,77.11,53.37,60.89,115.34,114.02,161.71,205.96,284.96
Maintenance and repairs,maintenance-and-repairs,Motor tune-up,motor-tune-up,child,24.29,10.75,14.62,27.8,24.26,32.1,24.42,37.58,84.95
Maintenance and repairs,maintenance-and-repairs,"Lube, oil change, and oil filters",lube-oil-change-and-oil-filters,child,33.68,36.86,27.41,38.35,54.09,60.61,75.07,90.27,122.46
Maintenance and repairs,maintenance-and-repairs,"Front-end alignment, wheel balance and rotation",front-end-alignment-wheel-balance-and-rotation,child,16.34,4.28,7.06,13.04,16.75,27.16,29.44,23.2,39.43
Maintenance and repairs,maintenance-and-repairs,Shock absorber replacement,shock-absorber-replacement,child,17.09,1.31,1.31,1.78,12.29,11.37,8.03,19.13,14.37
Maintenance and repairs,maintenance-and-repairs,"Gas tank repair, replacement*",gas-tank-repair-replacement,child,b/,b/,b/,b/,37.61,22.61,20.99,13.14,60.52
Maintenance and repairs,maintenance-and-repairs,Repair tires and other repair work,repair-tires-and-other-repair-work,child,51.55,35.23,43.1,80.08,79.1,88.41,120.34,113.08,185.17
Maintenance and repairs,maintenance-and-repairs,Auto repair service policy,auto-repair-service-policy,child,2.13,18.43,16.22,0.95,18.67,17.14,25.93,15.83,37.01
,,,,,,,,,,,,,
Other vehicle expenses,other-vehicle-expenses,Vehicle insurance*,vehicle-insurance,child,327.24,254.15,547.75,699.64,876.06,833.77,931.14,"1,209.23","1,617.13"
Other vehicle expenses,other-vehicle-expenses,"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,,259.93,116.91,147.31,197.63,323.2,339.96,441.27,490.34,"1,039.29"
,,,,,,,,,,,,,
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Leased and rented vehicles,leased-and-rented-vehicles,,180.89,38.36,61.36,95.99,192.59,184.04,226.98,267.11,649.2
,,,,,,,,,,,,,
Leased and rented vehicles,leased-and-rented-vehicles,Rented vehicles,rented-vehicles,,17.45,12.34,9.34,15.83,22.81,28.95,30.41,34.74,103.36
Rented vehicles,rented-vehicles,Auto/truck rental,auto/truck-rental,child,12.65,8.52,5.36,13.11,16.59,17.34,23.81,22.25,55.44
Rented vehicles,rented-vehicles,"Auto/truck rental, out-of-town trips",auto/truck-rental-out-of-town-trips,child,4.8,3.83,3.99,2.72,5.41,11.61,6.59,12.49,41.32
Rented vehicles,rented-vehicles,Motorcycle rental,motorcycle-rental,child,b/,b/,b/,b/,0.4,b/,b/,b/,0.06
Rented vehicles,rented-vehicles,"Motorcycle rental, out-of-town trips",motorcycle-rental-out-of-town-trips,child,b/,b/,b/,b/,0.4,b/,b/,b/,0.23
Rented vehicles,rented-vehicles,Aircraft rental,aircraft-rental,child,b/,b/,b/,b/,b/,b/,b/,b/,1.59
Rented vehicles,rented-vehicles,"Aircraft rental, out-of-town trips",aircraft-rental-out-of-town-trips,child,b/,b/,b/,b/,b/,b/,b/,b/,4.73
,,,,,,,,,,,,,
Leased and rented vehicles,leased-and-rented-vehicles,Leased vehicles,leased-vehicles,,163.44,26.02,52.02,80.15,169.78,155.09,196.57,232.37,545.84
Leased vehicles,leased-vehicles,Car/truck lease payments,car/truck-lease-payments,child,75.67,26.02,40.37,54.27,121.15,134.27,105.76,218.16,424.86
Leased vehicles,leased-vehicles,Cash downpayment car/truck lease,cash-downpayment-car/truck-lease,child,22.7,b/,11.64,23.57,15.76,13.61,6.71,6.45,41.89
Leased vehicles,leased-vehicles,Termination fee for car/truck lease,termination-fee-for-car/truck-lease,child,b/,b/,b/,b/,1.15,0.51,b/,1.09,8.84
Leased vehicles,leased-vehicles,Extra fees for car/truck lease,extra-fees-for-car/truck-lease,child,b/,b/,a/,b/,0.02,0.01,0.3,a/,1.74
Leased vehicles,leased-vehicles,Trade in allowance for car/truck lease,trade-in-allowance-for-car/truck-lease,child,65.07,b/,b/,2.31,31.7,6.68,83.8,6.67,68.51
,,,,,,,,,,,,,
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Vehicle registration state,vehicle-registration-state,child,23.76,34.1,37.76,43.02,62.2,74.88,112.88,106.15,145.24
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Vehicle registration local,vehicle-registration-local,child,4.33,1.91,6.53,4.28,6.95,5.08,5.99,6.65,10.27
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Drivers' license,drivers'-license,child,7.16,7.47,5.42,6.33,7.75,5.71,10.11,8.49,11.76
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Vehicle inspection,vehicle-inspection,child,3.12,4.85,4.37,7.73,7.11,8.58,9.34,13.1,16.18
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Parking fees,parking-fees,,26.14,15.4,12.61,9.79,13.51,20.89,25.05,29.75,85.33
,,,,,,,,,,,,,
Parking fees,parking-fees,"Parking fees in home city, excluding residence",parking-fees-in-home-city-excluding-residence,child,22.63,14.55,12.04,9.63,12.23,14.46,21.93,24.22,71.02
Parking fees,parking-fees,"Parking fees, out-of-town trips",parking-fees-out-of-town-trips,child,3.51,0.84,0.57,0.16,1.28,6.43,3.12,5.53,14.32
,,,,,,,,,,,,,
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Tolls or electronic toll passes,tolls-or-electronic-toll-passes,child,6.33,7.85,4.43,9.76,10.11,17.19,24.87,29.26,71.4
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Tolls on out-of-town trips,tolls-on-out-of-town-trips,child,0.87,1.01,0.67,1.7,1.6,3.1,3.12,4.25,9.29
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Towing charges,towing-charges,child,0.86,0.85,4.14,3.31,2.2,3.94,6.72,4.13,5.37
"Vehicle rental, leases, licenses, and other charges",vehicle-rental-leases-licenses-and-other-charges,Automobile service clubs and GPS services,automobile-service-clubs-and-gps-services,child,6.45,5.11,10.01,15.72,19.19,16.55,16.21,21.44,35.26
,,,,,,,,,,,,,
Transportation,transportation,Public and other transportation,public-and-other-transportation,,190.51,172.11,173.17,266.95,243.56,320.21,414.3,478.86,"1,113.86"
,,,,,,,,,,,,,
Public and other transportation,public-and-other-transportation,Airline fares,airline-fares,child,96.64,66.16,91.54,91.34,104.23,189.57,275.48,313.38,752.8
Public and other transportation,public-and-other-transportation,Intercity bus fares,intercity-bus-fares,child,8.03,11.05,6.23,6.08,6.71,4.91,9.38,13.61,19.03
Public and other transportation,public-and-other-transportation,Intracity mass transit fares,intracity-mass-transit-fares,child,55.94,77.95,60.7,58.71,57.31,55.79,66.64,67.99,122.68
Public and other transportation,public-and-other-transportation,Local trans. on out-of-town trips,local-trans.-on-out-of-town-trips,child,2.28,1.61,3.16,4.2,6.25,5.15,8.71,9.43,25.83
Public and other transportation,public-and-other-transportation,Taxi fares and limousine services on trips,taxi-fares-and-limousine-services-on-trips,child,1.34,0.95,1.85,2.47,3.67,3.02,5.11,5.54,15.17
Public and other transportation,public-and-other-transportation,Taxi fares and limousine services*,taxi-fares-and-limousine-services,child,14.51,10.68,4.24,9.18,19.08,14.19,15.62,15.35,37.74
Public and other transportation,public-and-other-transportation,Intercity train fares,intercity-train-fares,child,6.07,2.46,2.73,7.41,5.78,10.1,15.41,14.97,27.53
Public and other transportation,public-and-other-transportation,Ship fares,ship-fares,child,5.69,1.25,2.72,87.18,39.64,37.48,10.47,37.13,107.3
Public and other transportation,public-and-other-transportation,School bus,school-bus,child,b/,b/,b/,0.39,0.89,b/,7.47,1.45,5.78
,,,,,,,,,,,,,
Expenditures,expenditures,Health care,healthcare,,"1,568.10","1,299.63","1,821.58","2,815.70","3,123.87","3,538.60","3,709.47","4,702.25","6,416.72"
,,,,,,,,,,,,,
Healthcare,healthcare,Health insurance,health-insurance,,964.25,836.43,"1,198.20","1,830.84","2,116.96","2,494.56","2,563.71","3,060.07","4,289.72"
,,,,,,,,,,,,,
Health insurance,health-insurance,Commercial health insurance,commercial-health-insurance,,131.36,105.33,142.53,224.61,277.11,376.86,460.58,648.08,"1,070.70"
Commercial health insurance,commercial-health-insurance,Fee for service health plan (not BCBS),fee-for-service-health-plan-(not-bcbs),child,131.36,105.33,142.53,224.61,277.11,376.86,460.58,648.08,"1,070.70"
,,,,,,,,,,,,,
Health insurance,health-insurance,"Blue Cross, Blue Shield",blue-cross-blue-shield,,307.24,165.11,169.87,354.74,491.31,576.64,733.41,991.45,"1,670.93"
"Blue Cross, Blue Shield",blue-cross-blue-shield,Fee for service health plan (BCBS),fee-for-service-health-plan-(bcbs),child,167.03,92.28,64.67,159.67,234.85,300.55,376.91,506.39,"1,012.44"
"Blue Cross, Blue Shield",blue-cross-blue-shield,Health maintenance organization (BCBS),health-maintenance-organization-(bcbs),child,116.4,42.85,46.03,140.85,188.89,184.8,266.2,403.54,610.83
"Blue Cross, Blue Shield",blue-cross-blue-shield,Commercial medicare supplement (BCBS),commercial-medicare-supplement-(bcbs),child,11.66,27.08,45.63,50.32,51.6,78.34,72.63,58.7,25.81
"Blue Cross, Blue Shield",blue-cross-blue-shield,Other health insurance (BCBS),other-health-insurance-(bcbs),child,12.15,2.9,13.53,3.89,15.96,12.95,17.67,22.81,21.85
,,,,,,,,,,,,,
Health insurance,health-insurance,Health maintenance organization (not BCBS),health-maintenance-organization-(not-bcbs),child,186.66,129.69,179.48,230.23,267.31,426.36,508.66,605.53,945.72
Health insurance,health-insurance,Medicare payments,medicare-payments,child,221.6,265.22,470.11,649.14,662.31,649.43,514.7,442.57,253.54
Health insurance,health-insurance,Medicare prescription drug premium,medicare-prescription-drug-premium,child,44.94,60.77,106.03,114.73,126.19,129.05,84.39,80.69,43.86
Health insurance,health-insurance,Commercial medicare supplements and other health insurance,commercial-medicare-supplements-and-other-health-insurance,,58.85,69.55,108.88,230.61,243.77,276.9,173.35,197.47,199.32
,,,,,,,,,,,,,
Commercial medicare supplements and other health insurance,commercial-medicare-supplements-and-other-health-insurance,Commercial medicare supplement (not BCBS),commercial-medicare-supplement-(not-bcbs),child,31.19,39.92,82.62,198.07,200.46,208.25,108.52,108.56,53.18
Commercial medicare supplements and other health insurance,commercial-medicare-supplements-and-other-health-insurance,Other health insurance (not BCBS),other-health-insurance-(not-bcbs),child,27.65,29.63,26.27,32.54,43.31,68.64,64.83,88.91,146.14
,,,,,,,,,,,,,
Health insurance,health-insurance,Long term care insurance,long-term-care-insurance,child,13.61,40.77,21.3,26.78,48.96,59.32,88.63,94.29,105.66
,,,,,,,,,,,,,
Healthcare,healthcare,Medical services,medical-services,,288.37,211.43,284.68,474.18,495.44,465.98,614.37,959.07,"1,269.97"
,,,,,,,,,,,,,
Medical services,medical-services,Physician's services,physician's-services,child,65.92,38.46,65.11,74.24,103.26,132.04,130.41,204.45,328.1
Medical services,medical-services,Dental services,dental-services,child,105.49,82.91,60.16,239.73,201.52,161.59,255.23,257.52,463.68
Medical services,medical-services,Eyecare services,eyecare-services,child,12.6,51.43,10.5,35.47,32.15,65.71,28.65,48.58,64.88
Medical services,medical-services,Service by professionals other than physician,service-by-professionals-other-than-physician,child,11.98,8.46,11.5,42.79,24.44,47.08,41.78,66.53,101.73
Medical services,medical-services,"Lab tests, x-rays",lab-tests-x-rays,child,10.59,10.55,8.13,14.06,21.36,30.26,37.88,55.46,76.39
Medical services,medical-services,Hospital room and services,hospital-room-and-services,child,52.63,13.97,45.21,44.91,87.61,16.82,87.13,146.11,199.75
Medical services,medical-services,Medical care in retirement community,medical-care-in-retirement-community,child,b/,b/,b/,b/,b/,0.59,b/,b/,0.06
Medical services,medical-services,Care in convalescent or nursing home,care-in-convalescent-or-nursing-home,child,26.29,1.45,79.16,18.4,10.15,b/,b/,145.54,12.09
