parent,parent_id,Item,item_id,child,"Less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and more"
Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,Baby food*,baby-food,child,23.78,39.64,14.72,11.07,19.95,15.19,21.58,13.69,34.57
Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,Miscellaneous prepared foods*,miscellaneous-prepared-foods,child,75.66,80.09,86.18,91.27,102.04,124.49,131.31,141.63,226.31
Other canned and packaged prepared foods*,other-canned-and-packaged-prepared-foods,Vitamin supplements*,vitamin-supplements,child,b/,b/,b/,0.94,b/,b/,b/,b/,b/
,,,,,,,,,,,,,
Other food at home*,other-food-at-home,Nonalcoholic beverages*,nonalcoholic-beverages,,223.54,245.3,245.17,273.94,294.79,322.47,331.3,396.61,487.63
,,,,,,,,,,,,,
Nonalcoholic beverages*,nonalcoholic-beverages,Cola*,cola,child,45.07,50.3,50.71,50.74,55.94,67.83,61.04,74.85,78.15
Nonalcoholic beverages*,nonalcoholic-beverages,Other carbonated drinks*,other-carbonated-drinks,child,40.54,48.87,51.2,50.45,51.62,55.06,65.13,71.08,80.2
Nonalcoholic beverages*,nonalcoholic-beverages,Tea*,tea,child,17.07,26.32,20.9,26.32,22.96,29.76,37.89,38,46.42
Nonalcoholic beverages*,nonalcoholic-beverages,Coffee*,coffee,,45.65,37.72,48.41,54.33,69.15,72.78,77.16,96.87,124.97
,,,,,,,,,,,,,
Coffee*,coffee,Roasted coffee*,roasted-coffee,child,25.17,18.95,29.51,32.28,42.12,44.52,46.63,63,86.6
Coffee*,coffee,Instant and freeze dried coffee*,instant-and-freeze-dried-coffee,child,20.48,18.77,18.91,22.06,27.03,28.25,30.53,33.87,38.38
,,,,,,,,,,,,,
Nonalcoholic beverages*,nonalcoholic-beverages,"Noncarbonated fruit flavored drinks, including non-frozen lemonade*",noncarbonated-fruit-flavored-drinks-including-non-frozen-lemonade,child,14.66,18.02,15.05,20.23,24.91,19.82,19.54,23.3,32.78
Nonalcoholic beverages*,nonalcoholic-beverages,Other noncarbonated beverages and ice*,other-noncarbonated-beverages-and-ice,child,9.29,8.12,10.73,13.17,9.75,12.52,10.56,16.92,19.29
Nonalcoholic beverages*,nonalcoholic-beverages,Bottled water*,bottled-water,child,39.59,40.56,36.45,49.47,48.29,49.89,46.25,59.93,81.34
Nonalcoholic beverages*,nonalcoholic-beverages,Sports drinks*,sports-drinks,child,11.66,15.39,11.71,9.23,12.18,14.75,13.73,15.66,24.36
Nonalcoholic beverages*,nonalcoholic-beverages,Nonalcoholic beer*,nonalcoholic-beer,child,b/,b/,b/,b/,b/,0.06,b/,b/,0.13
,,,,,,,,,,,,,
Other food at home*,other-food-at-home,Food prepared by consumer unit on out-of-town trips,food-prepared-by-consumer-unit-on-out-of-town-trips,child,9.52,13.12,12.05,11.54,21.64,39.57,37.16,46.88,96.59
,,,,,,,,,,,,,
Food,food,Food away from home,food-away-from-home,,"1,227.33","1,009.07","1,002.87","1,292.63","1,481.03","1,855.44","2,247.45","2,560.69","4,688.98"
,,,,,,,,,,,,,
Food away from home,food-away-from-home,"Meals at restaurants, carry outs and other*",meals-at-restaurants-carry-outs-and-other,,"1,108.97",901.63,887.75,"1,152.78","1,324.09","1,643.34","1,998.73","2,245.97","3,849.77"
,,,,,,,,,,,,,
"Meals at restaurants, carry outs and other*",meals-at-restaurants-carry-outs-and-other,Lunch*,lunch,,344.04,333.93,319.74,367.04,469.39,574,619.91,755.22,"1,221.14"
,,,,,,,,,,,,,
Lunch*,lunch,"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)*",lunch-at-fast-food-take-out-delivery-concession-stands-buffet-and-cafeteria-(other-than-employer-and-school-cafeteria),child,195.15,199.81,185.43,212.85,243.61,295.59,335.16,377.97,560.75
Lunch*,lunch,Lunch at full service restaurants*,lunch-at-full-service-restaurants,child,130.3,104.06,114.79,136.41,192.69,214.92,232.26,307.4,512.69
Lunch*,lunch,Lunch at vending machines and mobile vendors*,lunch-at-vending-machines-and-mobile-vendors,child,3.06,7.09,6.75,3.76,7.18,19.77,8.76,11.03,12.29
Lunch*,lunch,Lunch at employer and school cafeterias*,lunch-at-employer-and-school-cafeterias,child,15.53,22.96,12.77,14.03,25.91,43.72,43.73,58.82,135.41
,,,,,,,,,,,,,
"Meals at restaurants, carry outs and other*",meals-at-restaurants-carry-outs-and-other,Dinner*,dinner,,538.9,379.98,380.19,541.73,573.51,741.33,965.45,"1,036.30","1,944.13"
,,,,,,,,,,,,,
