category_code,description_code,description
23,7630,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers"
24,7700,First-Line Supervisors of Production and Operating Workers
24,7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
24,7720,"Electrical, Electronics, and Electromechanical Assemblers"
24,7730,Engine and Other Machine Assemblers
24,7740,Structural Metal Fabricators and Fitters
24,7750,"Assemblers and Fabricators, nec"
24,7800,Bakers
24,7810,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
24,7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
24,7840,Food Batchmakers
24,7850,Food Cooking Machine Operators and Tenders
24,7855,"Food Processing, nec"
24,7900,Computer Control Programmers and Operators
24,7920,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
24,7930,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
24,7940,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic"
24,7950,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
24,7960,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
24,8000,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
24,8010,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
24,8030,Machinists
24,8040,"Metal Furnace Operators, Tenders, Pourers, and Casters"
24,8060,"Model Makers and Patternmakers, Metal and Plastic"
24,8100,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
24,8130,Tool and Die Makers
24,8140,"Welding, Soldering, and Brazing Workers"
24,8150,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
24,8200,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
24,8210,"Tool Grinders, Filers, and Sharpeners"
24,8220,"Metal workers and plastic workers, nec"
24,8230,"Bookbinders, Printing Machine Operators, and Job Printers"
24,8250,Prepress Technicians and Workers
24,8300,Laundry and Dry-Cleaning Workers
24,8310,"Pressers, Textile, Garment, and Related Materials"
24,8320,Sewing Machine Operators
24,8330,Shoe and Leather Workers and Repairers
24,8340,Shoe Machine Operators and Tenders
24,8350,"Tailors, Dressmakers, and Sewers"
24,8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
24,8410,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
24,8420,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
24,8450,Upholsterers
24,8460,"Textile, Apparel, and Furnishings workers, nec"
24,8500,Cabinetmakers and Bench Carpenters
24,8510,Furniture Finishers
24,8530,"Sawing Machine Setters, Operators, and Tenders, Wood"
24,8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
24,8550,"Woodworkers including model makers and patternmakers, nec"
24,8600,"Power Plant Operators, Distributors, and Dispatchers"
24,8610,Stationary Engineers and Boiler Operators
24,8620,Water Wastewater Treatment Plant and System Operators
24,8630,"Plant and System Operators, nec"
24,8640,"Chemical Processing Machine Setters, Operators, and Tenders"
24,8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
24,8710,Cutting Workers
24,8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
24,8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
24,8740,"Inspectors, Testers, Sorters, Samplers, and Weighers"
24,8750,Jewelers and Precious Stone and Metal Workers
24,8760,"Medical, Dental, and Ophthalmic Laboratory Technicians"
24,8800,Packaging and Filling Machine Operators and Tenders
24,8810,Painting Workers and Dyers
24,8830,Photographic Process Workers and Processing Machine Operators
24,8850,Adhesive Bonding Machine Operators and Tenders
