f,ict
01001,1
42107,7
42105,6
42103,4
42101,2
48181,2
17169,3
48185,4
42109,7
38069,3
48165,2
48163,1
48161,3
38061,2
38063,3
38065,3
38067,3
20187,2
20185,2
20183,2
20181,2
20189,2
40039,2
48231,2
13039,2
01133,1
13037,1
13031,2
13033,2
18057,3
18055,2
48095,2
18053,3
18051,2
18059,2
29017,2
28019,1
29015,2
29013,2
29011,2
28011,1
28013,1
28015,1
29019,2
28017,1
37159,1
37151,2
37153,1
37155,2
37157,1
18123,1
18121,2
18127,2
18125,1
51520,1
18129,2
55041,2
29163,2
38087,3
29161,2
38085,3
30099,3
38083,3
29165,2
38081,3
30095,3
40121,2
30097,3
30091,3
30093,3
38089,3
47189,4
48453,7
47185,1
47187,4
49007,4
47181,2
47183,2
48451,2
48457,2
28161,1
28163,1
48455,1
40127,2
22101,3
22103,4
19099,2
22107,3
22109,3
16045,4
19091,2
19093,2
31165,3
51700,3
02110,2
39113,6
51091,2
39111,3
51093,3
39117,4
51095,3
39115,3
51097,3
51099,3
39119,2
48357,2
22079,3
22075,4
22077,4
22071,4
22073,3
46103,3
46101,3
02020,2
46105,3
46109,3
51678,3
51670,3
56029,2
51067,4
56025,2
56027,2
46107,3
56023,2
28077,1
13153,2
22113,2
28075,1
30083,3
49029,4
42049,4
46039,3
42043,7
26163,9
42041,7
31147,3
42047,4
46033,3
42045,2
26165,4
17027,4
17025,3
05129,3
17021,4
05125,3
05127,3
05121,2
17029,4
48225,2
01013,1
51820,3
47053,2
48081,3
42117,4
05011,1
26017,6
05013,1
26015,3
05015,3
26013,2
05017,1
26011,5
05019,2
02290,2
26019,3
48199,3
42033,6
48227,2
46063,3
29229,2
29221,2
29223,2
29225,2
29227,2
37033,1
01039,1
37031,1
37037,2
37035,2
01033,1
42119,7
01031,1
37039,1
01037,1
01035,1
48219,2
42133,7
46069,3
42131,4
48191,2
54099,1
54093,1
54091,1
54097,1
54095,1
48153,2
48151,2
48157,5
48155,1
48085,4
48405,1
48159,1
48401,1
48403,1
01107,1
01105,1
01103,1
01101,1
01109,1
13049,1
45075,4
45073,3
45071,4
48089,2
13043,2
13045,4
13047,2
18041,2
18043,1
48223,1
18045,3
