puma_id,state,internet,mean_income,median_income,pumaname
605301,6,0.8124677,94221.2,73400,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities"
605302,6,0.7425202,61168.64,45000,Monterey County (Northeast)--Salinas City
605303,6,0.7008352,74038.2,52600,Monterey (South & East) & San Benito Counties
605500,6,0.8536108,92548.08,72000,Napa County--Napa City
605700,6,0.7930591,70881.77,50000,Nevada & Sierra Counties
605901,6,0.9011596,117715.3,84000,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities"
605902,6,0.9223326,110804.5,95001,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities
605903,6,0.8922891,141442.5,100000,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities"
605904,6,0.9345167,108261,82800,Orange County (Central)--Irvine City (Central)
605905,6,0.8989474,116021.5,90900,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado"
605906,6,0.8704171,106647.4,87300,"Orange County (North)--Yorba Linda, La Habra & Brea Cities"
605907,6,0.8438213,91443,67000,Orange County (North Central)--Fullerton & Placentia Cities
605908,6,0.8258983,95224.34,79000,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities"
605909,6,0.7840091,65519.84,50000,Orange County (North Central)--Anaheim City (West)
605910,6,0.8256694,87768,68600,Orange County (North Central)--Anaheim City (East)
605911,6,0.8387843,105336.4,82000,Orange County (Central)--Orange & Villa Park Cities
605912,6,0.7901059,67452.84,49000,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities"
605913,6,0.7538947,71333.67,57200,Orange County (Northwest)--Garden Grove City (East)
605914,6,0.8663294,105563.1,83000,Orange County (Northwest)--Huntington Beach City
605915,6,0.9342963,144610.5,110000,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch
605916,6,0.740083,63955.36,50000,Orange County (Central)--Santa Ana City (West)
605917,6,0.7328905,60628.86,47000,Orange County (Central)--Santa Ana City (East)
605918,6,0.8894059,93885.64,73000,Orange County (Central)--Costa Mesa & Fountain Valley Cities
606101,6,0.8578528,88539.91,70000,Placer County (Southwest)--Roseville City
606102,6,0.9073203,96095.91,74600,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town"
606103,6,0.8118716,93666.65,68000,Placer County (East/High Country Region)--Auburn & Colfax Cities
606501,6,0.6711036,62827.54,42000,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities"
606502,6,0.790772,69406.16,45100,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities"
606503,6,0.8826055,93439.44,75600,Riverside County (Southwest)--Temecula City
