New York City,New York,NY,United States of America,/cities/new-york,,May,2011,https://newsroom.uber.com/uber-nyc-launches-service/,40.71,-74.01
The Hamptons,New York,NY,United States of America,/cities/hamptons,,Jul,2013,"http://www.pcmag.com/article2/0,2817,2421264,00.asp",40.88,-72.5
"Asheville, NC",North Carolina,NC,United States of America,/cities/asheville-nc,,Aug,2014,http://www.citizen-times.com/story/carol-motsinger/2014/08/21/uber-ridesharing-service-asheville/14383527/,35.58,-82.56
Charlotte,North Carolina,NC,United States of America,/cities/charlotte,,Sep,2013,http://www.bizjournals.com/charlotte/blog/bank_notes/2013/09/inside-scoop-uber-arrives-in.html,35.22,-80.84
Eastern North Carolina,North Carolina,NC,United States of America,/cities/eastern-north-carolina,,,,,35.11,-77.07
Fayetteville,North Carolina,NC,United States of America,/cities/fayetteville,,Jun,2014,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/,35.05,-78.87
Outer Banks,North Carolina,NC,United States of America,/cities/outer-banks-nc,,,,,35.37,-75.5
Piedmont Triad,North Carolina,NC,United States of America,/cities/greensboro,,Jun,2014,http://myfox8.com/2014/06/26/uber-launches-ride-networking-service-in-greensboro-winston-salem/,36.08,-79.82
Raleigh-Durham,North Carolina,NC,United States of America,/cities/raleigh,,Apr,2014,http://www.bizjournals.com/triangle/blog/techflash/2014/04/ride-share-startup-uber-launches-in-raleigh.html,35.78,-78.64
Wilmington,North Carolina,NC,United States of America,/cities/wilmington-nc,,Jun,2014,http://learn.huify.com/blog/uber-launched-in-wilmington-nc-today-june-26,34.22,-77.94
Fargo,North Dakota,ND,United States of America,/cities/fargo,,May,2015,http://hpr1.com/index.php/feature/news/uber-launches-in-fargo/,46.87,-96.78
Akron,Ohio,OH,United States of America,/cities/akron,,Aug,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,41.08,-81.51
Cincinnati,Ohio,OH,United States of America,/cities/cincinnati,,Mar,2014,https://newsroom.uber.com/us-ohio/uber-cincinnati-launches-with-free-rides-for-2-weeks/,39.16,-84.45
